iter,acc,nmi,ari,L
0,0.7424,0.66312,0.58525,0
140,0.7517,0.67418,0.60065,0.03667
280,0.7573,0.68591,0.61336,0.06434
420,0.7637,0.69819,0.62479,0.11415
560,0.7708,0.71025,0.6376,0.07981
700,0.775,0.71817,0.64513,0.12097
840,0.7781,0.72402,0.6512,0.05158
980,0.7795,0.72753,0.65395,0.1114
1120,0.782,0.73091,0.65852,0.02967
1260,0.7827,0.73315,0.66031,0.09996
1400,0.7844,0.7352,0.66315,0.01891
1540,0.7849,0.73718,0.66482,0.09007
1680,0.7856,0.7382,0.66618,0.0131
1820,0.7864,0.7401,0.66779,0.08203
1960,0.7862,0.73938,0.66765,0.0098
2100,0.7867,0.74085,0.66869,0.07563
2240,0.7866,0.74035,0.66851,0.0081
2380,0.7869,0.74138,0.66925,0.07018
2520,0.7867,0.74117,0.66919,0.00706
2660,0.7869,0.74222,0.66961,0.06552
2800,0.7872,0.74264,0.67018,0.00632
2940,0.7875,0.74359,0.67064,0.061
3080,0.7873,0.74332,0.67064,0.00578
